Input;Start;Finish;Input.file.size;Output.file.size
0.data/mlammers_ML01_Mai11/A006850198_172418_S142_L001_R1_001.mapped.sam;20230906124723;20230906125623;739960;2328
0.data/mlammers_ML01_Mai11/A006850198_172420_S143_L001_R1_001.mapped.sam;20230906125623;20230906130636;977952;2340
0.data/mlammers_ML01_Mai11/A006850198_172422_S144_L001_R1_001.mapped.sam;20230906130636;20230906131537;851324;2336
0.data/mlammers_ML01_Mai11/A006850198_172424_S145_L001_R1_001.mapped.sam;20230906131537;20230906132415;827828;2336
0.data/mlammers_ML01_Mai11/A006850198_172426_S146_L001_R1_001.mapped.sam;20230906132415;20230906133634;1188776;2340
0.data/mlammers_ML01_Mai11/A006850198_172428_S147_L001_R1_001.mapped.sam;20230906133634;20230906134626;909928;2336
0.data/mlammers_ML01_Mai11/A006850198_172430_S148_L001_R1_001.mapped.sam;20230906134626;20230906135642;971816;2340
0.data/mlammers_ML01_Mai11/A006850198_172432_S149_L001_R1_001.mapped.sam;20230906135643;20230906140759;1027232;2336
0.data/mlammers_ML01_Mai11/A006850198_172434_S150_L001_R1_001.mapped.sam;20230906140759;20230906141602;754412;2328
0.data/mlammers_ML01_Mai11/A006850198_172436_S151_L001_R1_001.mapped.sam;20230906141602;20230906142544;911048;2336
0.data/mlammers_ML01_Mai11/A006850198_172438_S152_L001_R1_001.mapped.sam;20230906142544;20230906143359;789924;2332
0.data/mlammers_ML01_Mai11/A006850198_172440_S153_L001_R1_001.mapped.sam;20230906143359;20230906144316;876672;2336
0.data/mlammers_ML01_Mai11/A006850198_172442_S154_L001_R1_001.mapped.sam;20230906144316;20230906145106;712512;2332
0.data/mlammers_ML01_Mai11/A006850198_172444_S155_L001_R1_001.mapped.sam;20230906145106;20230906150035;888360;2336
0.data/mlammers_ML01_Mai11/A006850198_172446_S156_L001_R1_001.mapped.sam;20230906150035;20230906150815;722508;2332
0.data/mlammers_ML01_Mai11/A006850198_172448_S157_L001_R1_001.mapped.sam;20230906150815;20230906151852;958160;2340
0.data/mlammers_ML01_Mai11/A006850198_172450_S158_L001_R1_001.mapped.sam;20230906151852;20230906152742;844808;2336
0.data/mlammers_ML01_Mai11/A006850198_172452_S159_L001_R1_001.mapped.sam;20230906152742;20230906153612;782440;2332
0.data/mlammers_ML01_Mai11/A006850198_172454_S160_L001_R1_001.mapped.sam;20230906153612;20230906154512;842764;2332
0.data/mlammers_ML01_Mai11/A006850198_172456_S161_L001_R1_001.mapped.sam;20230906154512;20230906155437;882476;2336
0.data/mlammers_ML01_Mai11/A006850198_172458_S162_L001_R1_001.mapped.sam;20230906155437;20230906160330;816948;2336
